ts	phase	decision	why	evidence	result
2026-08-20T14:57:38Z	frame	Treat priority 20a as an optional client backend with the existing PresentationProgram and built-in truth cues kept authoritative	The roadmap and SMP decisions require Veil to improve cosmetic layers without becoming a gameplay or dedicated-server dependency	ROADMAP.md, docs/SMP_INTEGRATION_DECISIONS.md, SPELL_PRESENTATION.md	implementation started
2026-08-20T15:08:00Z	dependency	Pin Veil 4.4.1 as an optional client dependency and keep it off the default runtime classpath	FoundryMC publishes 4.4.1 for Minecraft 1.21.1 and its manifest accepts NeoForge 21.1.1 or newer	gradle.properties, build.gradle, Veil JAR SHA-256 2ff0bf91152612734fc35856e90da24024cd9f919fb94572536d96cc50c8baef	compile classpath resolved
2026-08-20T15:12:00Z	delegation	Retry the bounded module-mapper task once through the documented free deepseekflash profile, then review and correct it in the parent	The first delegated attempt returned no files; the second supplied compiler-checkable mapper scaffolding but mapped Darkness to a light instead of a volume	src/main/java/vectorregnum/core/presentation/PresentationModuleMapper.java and its tests	accepted after parent correction
2026-08-20T15:18:00Z	architecture	Reflectively load the single Veil-linking adapter and permanently fail closed to the always-running built-in renderer	A dedicated server and a default client must never resolve Veil classes, while a runtime adapter fault must not remove mandatory truth cues	OptionalPresentationBackendTest, verify-priority20a.sh, 18-test GameTest server	default runtime absent and fault fallback passed
2026-08-20T15:21:00Z	resources	Remove the nonexistent tick_size Quasar module from all four emitter definitions	The first target-pack run reached the world but Veil reported Quasar registry loading errors for vector_regnum resources	run/priority20a-compat-client/logs/latest.log and four corrected particle_data JSON files	second matrix loaded four Quasar particles without registry errors
2026-08-20T15:23:00Z	compatibility	Accept one startup-only Veil/Iris glBindTextureUnit diagnostic but fail on repeats, other high-severity GL diagnostics, backend fallback, or resource errors	The exact target-pack matrix joined and rendered normally, and the diagnostic occurred once during Veil shader upload without a crash or backend failure	scripts/priority20a-compat-matrix.sh check	Veil 4.4.1, Create 6.0.10, Sodium 0.8.13-beta.2, Iris 1.8.14-beta.1, and Bliss 2.1.2 passed
2026-08-20T15:31:00Z	hermes	Exercise the guarded Hermes showcase once with Veil absent and once with Veil enabled	The dependency boundary and the enhancement path both require real-client evidence, not only classpath inspection	Hermes latest.log files and inspected screenshots hermes-window-20260820T152855Z.png and hermes-window-20260820T153048Z.png	both clients joined IPv4, reached VISUAL_CHECKPOINT_READY, rendered the scene, and owned units stopped
2026-08-20T15:33:10Z	verification	Use the clean Java 21 suite, production GameTest server, JSON and shell parsers, diff check, and rerunnable priority-20a verifier as the automated release gate	The change crosses resources, client classloading, rendering, and launch scripts	196 JUnit tests; 18 production GameTests; 87 JSON files; 12 shell scripts; scripts/verify-priority20a.sh	all automated gates passed
2026-08-20T16:06:56Z	visual	Accept the human Main-PC desktop gate after replacing its vague instructions with exact authored and library cast commands	The first wizard wording asked one command to demonstrate effects it did not launch, so Ian stopped rather than guessing	visual-evidence/main-pc-priority20a-visual-attestation.txt and run/client/logs/latest.log	resource reload loaded four Quasar particles again; accessible truth fallback and normal cleanup passed
2026-08-20T16:13:39Z	handoff	Check priority 20a and make priority 21 the first unfinished queue item	Every automated, target-pack, Hermes, and human desktop acceptance gate now has evidence	ROADMAP.md, README.md, AGENTS.md, scripts/README.md, Vector-Regnum memory hub and detail note	handoff updated
2026-08-20T16:24:00Z	audit	Reopen the compatibility gate after Luna found that the matrix had not cast spells or visibly exercised Create	Startup-only evidence could not support the renderer/Create claim	Luna audit; first automated-scene rerun in run/priority20a-compat-client/logs/latest.log	full scene reproduced repeated GL_INVALID_OPERATION in glDrawElementsInstanced
2026-08-20T16:29:00Z	compatibility	Disable Veil deferred lights and bloom when Iris is loaded while retaining Quasar motifs and built-in truth cues	The exact full target scene tied repeated invalid instanced draws to Veil's advanced light path under Iris	VeilPresentationBackend.java and scripts/priority20a-compat-matrix.sh	second full scene had no invalid instanced draws; one startup glBindTextureUnit diagnostic remained allowlisted
2026-08-20T16:31:50Z	visual	Stage a Create mechanical press and large cogwheel in the exact target-pack scene and inspect the rendered result	Flywheel selected its supported off fallback under Iris, so a real rendered block-entity scene was needed beyond loader logs	visual-evidence/main-pc-priority20a-create-matrix-safe.png; create_renderer_probe=true	Create machinery, Vector-Regnum scene, Quasar motifs, and Bliss shader rendered together
2026-08-20T16:35:46Z	verification	Repeat the complete ladder after the audit-driven compatibility fix	The final policy, Iris guard, Create probe, and test changed code after the earlier green run	197 JUnit tests; 18 GameTests; target matrix; Hermes screenshot hermes-window-20260820T163519Z.png	all gates passed and all owned development units stopped
2026-08-20T16:44:57Z	audit	Reopen only the final Main-PC visual gate	The human attestation predates the audit-driven Iris/Create and motif changes, so it cannot certify the final playable artifact	gpt-5.6-luna re-review; main-pc-priority20a-visual-attestation.txt timestamp; decision rows above	implementation and all automated/remote gates pass; one fresh desktop-wizard pass remains
2026-08-20T16:58:46Z	visual	Accept the post-fix Main-PC desktop gate	The new human run exercised the final playable artifact after the Iris/Create and motif changes	visual-evidence/main-pc-priority20a-visual-attestation.txt; run/client/logs/latest.log	authored and library spells, reload, accessibility fallbacks, normal shutdown, inactive units, and free port passed
2026-08-20T17:01:40Z	verification	Bound the known Veil point-light warning separately before and after F3+T	Veil emits the same exact nonfatal warning twice per shader-upload phase, so a global limit of two rejects the required reload path	scripts/priority20-local-visual-wizard.sh; latest.log lines 104, 108, 144, and 147	wizard rejects more than two warnings in either phase and still rejects every other shader-validation warning
2026-08-20T21:18:38Z	user_correction	Reopen priority 20a for full Veil particle ownership	The current adapter does not use enough Veil; with Veil active it must replace every Vector-Regnum particle-based animation except enchanting-table particles	Ian's direction; ROADMAP.md; SPELL_PRESENTATION.md; AGENTS.md	priority 20a is first unfinished, priority 21 is blocked, and completion requires an emission inventory, single-exception allowlist, implementation, and repeated full visual ladder
