ts	phase	decision	why	evidence	result
2026-08-27T06:46:40Z	framing	Treat priority 22 as one server-authoritative transaction spanning quote, reservation, execution outcome, and settlement	The roadmap requires failures to consume or refund the same committed resources consistently across every casting medium	ROADMAP.md:211; docs/SMP_INTEGRATION_DECISIONS.md:78	inventory in progress
2026-08-27T07:02:39Z	design	Keep casting method separate from persisted spell medium and add engraving as the fourth artifact medium	Bare and ritual casts have no artifact while scroll, book, engraving, and installed circle retain different lifecycles	src/main/java/vectorregnum/core/circle/SpellMedium.java; src/main/java/vectorregnum/core/casting/CastingMethod.java	implemented in domain model
2026-08-27T07:02:39Z	content	Use four vanilla items as the first reagent set	Amethyst shard, sugar, glowstone dust, and fermented spider eye already communicate the four effects and avoid adding placeholder item art before priority 28 balance and art passes	src/main/resources/assets/vector_regnum/guide/field_manual.json	guide contract updated
2026-08-27T11:34:00Z	execution boundary	Put one CastingResourceService reservation around both compatibility SpellEngine casts and delayed vm2 casts	The same quote and outcome matrix must govern authored circles, library spells, media, and automation without trusting client state	CastService; NeoForgeVmService; ResourceEscrow	implemented
2026-08-27T11:41:00Z	media settlement	Reserve a scroll stack before execution, consume it on success or genuine fault, refund it for infrastructure and lifecycle outcomes, and update reusable media only after success	This makes single-use loss atomic while preserving reusable books and installed artifacts	CircleAuthoringService; SpellTabletBlockEntity; CastingResourceService	implemented
2026-08-27T11:48:00Z	lifecycle refunds	Refund active reservations directly from logout, clone, dimension-change, and shutdown hooks before VM records are removed	An owner may be absent from the server player list by the next tick, so tick-only cleanup cannot guarantee exact inventory and mana restoration	MultiplayerLifecycleService; NeoForgeVmService.onServerStopping	implemented
2026-08-27T12:00:00Z	Luna max review	Do not close priority 22 after the first green ladder	Read-only review found silent unloaded-target success, offline/shutdown escrow loss, offering/reagent conflation, opaque clipping text, and insufficient GameTest reachability	p22_hermes_review review; Priority22GameTests	all blocking findings resolved before closeout
2026-08-27T12:06:00Z	offering separation	Use Nether Quartz as a separately staged offering-only pool	A ritual offering is a commitment requirement, not a fifth discount or a duplicate use of a typed reagent	CastingResourceService staging document vr-reagents:2; Field Manual v9	implemented with v1 decode compatibility
2026-08-27T12:08:00Z	offline and shutdown settlement	Retain the exact payer object for each process-local reservation and settle active reservations without consulting the connected-player list	Logout races and shutdown can remove the owner lookup before exact inventory and mana restoration	CastingResourceService.settle(Reservation); refundOwner(UUID); refundAll; Priority22GameTests	absent-owner and shutdown fallback GameTests passed
2026-08-27T12:09:00Z	terminal idempotency	Track terminal callback delivery on each active VM	Lifecycle signals may repeat even though resource settlement is idempotent; media callbacks must also run at most once	NeoForgeVmService.ActiveVm.terminalNotified; duplicateLifecycleCancellationNotifiesTerminalOnce	GameTest passed
2026-08-27T12:10:00Z	target outcome	Classify missing direct VM entities and required semantic targets as UNLOADED_TARGET and protected effects as POLICY_REJECTED	Infrastructure/policy loss must refund rather than masquerade as success or a genuine player-authored spell fault	NeoForgeVmService.effectRejection; ENTITY_NOT_FOUND mapping; SemanticSpellExecutor.ExecutionRejection	unloaded-target refund GameTest passed
2026-08-27T12:12:00Z	quote contract	Show both requested and applied discount amounts and name cap/floor clipping	Players need to audit how server floors and caps altered staged reagent contributions	CastingResourceService.sendQuote; Hermes live ritual quote	requested 5.00, applied 5.00, quartz no-discount text observed
2026-08-27T12:15:00Z	machine boundary	Run the final build, GameTests, client, and visual closeout only on Hermes	Ian explicitly prohibited further NixOS execution after the earlier local launcher was closed	Hermes Java 21 build; GameTest log; visual-evidence/hermes-window-20260827T121457Z.png	instruction honored; both Hermes units inactive and port 25575 free
2026-08-27T12:18:00Z	acceptance	Require all six media reservation paths, separate offering semantics, consuming and refundable outcomes, absent-owner/shutdown fallback, unloaded target, and duplicate lifecycle coverage	A class or stub is insufficient for a checked roadmap item	254 JUnit tests; 23 production GameTests; verify-priority22; Hermes checkpoint	accepted as coherent end-to-end alpha pass
2026-08-27T12:22:00Z	test isolation	Run the global shutdown-refund GameTest in its own batch and assert per-owner escrow counts	The first final rerun exposed cross-test interference because refundAll and global activeCount shared state with concurrently running GameTests	Priority22GameTests priority22_escrow_isolated batch; two consecutive full GameTest runs	23 of 23 passed twice without interference
2026-08-28T00:20:00Z	machine policy	Make Hermes the default for builds, tests, Minecraft, screenshots, and visual inspection; require Ian's approval before any NixOS execution or opening	Ian repeated this boundary and asked that future AIs inherit it	AGENTS.md; scripts/README.md; scripts/check-handoff-docs.sh; Vector-Regnum vault notes	documented with an executable stale-handoff guard
2026-08-28T00:20:00Z	correction	Record and clean up an accidental NixOS launcher invocation caused by local shell interpretation of Markdown backticks	The invocation violated Ian's machine boundary and must remain visible to future reviewers	vector-regnum-local-server.service; runClient PIDs 42255 and 42539; loopback port 25575	local server and both client processes stopped; service inactive; port free; subsequent edits performed through quoted Hermes-only commands
2026-08-28T00:30:00Z	correction	Keep remote mutations inside a single quoted SSH operation	A remote heredoc was followed by a local chmod attempt; it failed because the target file did not exist on NixOS and changed nothing	shell error; canonical checkout target absent	switched to one SSH mutation per tool call and created the checker only on Hermes
2026-08-28T00:35:00Z	verification	Add and run a Hermes-only public-clone overlay checker	The guarded mirror has no Git metadata, so future agents need a rerunnable whitespace and new-file check	scripts/hermes-diff-check.sh; fresh shallow clone	the first run found three generated .orig backups; exact backups removed; rerun printed HERMES_DIFF_CHECK_OK
